0:0 AM
0:2 America
0:4 American
0:6 April
0:8 August
0:10 Canada
0:12 China
0:14 Chinese New Year
0:18 Chinese
0:20 Christmas
0:22 Coke
0:24 December
0:26 Dr.
0:29 Easter
0:31 English
0:33 Father's Day
0:36 February
0:39 French fries
0:42 Friday
0:44 God
0:46 Halloween
0:48 I
0:50 January
0:52 Japan
0:54 July
0:56 June
0:58 MRT
1:1 Miss
1:3 Mister
1:5 Monday
1:8 Moon Festival
1:11 Mother's Day
1:13 Mr.
1:15 Mrs.
1:18 Ms.
1:21 New Year's Day
1:24 New Year's Eve
1:26 November
1:28 O.K.
1:30 OK
1:32 October
1:34 PE
1:36 R.O.C.
1:39 Saturday
1:42 September
1:45 Sunday
1:48 T-shirt
1:51 TV
1:53 Taiwan
1:55 Teacher's Day
1:57 Thursday
2:0 Tom
2:3 Tuesday
2:6 USA
2:9 Valentine
2:12 Wednesday
2:15 Wendy
2:17 a.m.
2:19 a
2:21 able
2:23 about
2:25 above
2:27 abroad
2:29 absent
2:31 accept
2:33 accident
2:35 across
2:37 act
2:39 action
2:41 active
2:43 activity
2:45 actor
2:47 actress
2:49 actually
2:51 add
2:53 address
2:55 admire
2:57 adult
2:59 advertisement
3:2 advice
3:4 advise
3:6 affect
3:8 afraid
3:10 after
3:13 afternoon
3:16 again
3:18 against
3:21 age
3:24 ago
3:26 agree
3:28 ahead
3:30 aim
3:32 air conditioner
3:35 air
3:37 airlines
3:39 airplane
3:41 airport
3:44 alarm
3:46 album
3:48 alike
3:50 alive
3:52 all
3:54 allow
3:56 almost
3:59 alone
4:1 along
4:3 aloud
4:5 alphabet
4:7 already
4:9 also
4:11 although
4:13 altogether
4:15 always
4:17 ambulance
4:20 among
4:22 amount
4:24 an
4:26 ancient
4:28 and
4:31 angel
4:33 anger
4:35 angrily
4:38 angry
4:40 animal
4:42 ankle
4:44 another
4:46 answer
4:49 ant
4:52 any
4:54 anybody
4:56 anyone
4:58 anything
5:0 anywhere
5:2 apartment
5:4 apologize
5:7 appear
5:9 apple
5:11 appreciate
5:14 are
5:17 area
5:19 argue
5:21 arm
5:23 armchair
5:25 army
5:27 around
5:29 arrange
5:32 arrive
5:34 art
5:36 artist
5:38 as
5:40 ask
5:43 asleep
5:45 assistant
5:47 assume
5:49 at
5:52 attack
5:54 attention
5:56 aunt
5:59 autumn
6:1 available
6:3 avoid
6:5 away
6:7 baby
6:9 back
6:12 backpack
6:14 backward
6:16 bad
6:19 badminton
6:21 bag
6:24 bake
6:26 bakery
6:28 balcony
6:31 ball
6:33 balloon
6:35 banana
6:38 band
6:40 bank
6:42 barbecue
6:45 barber
6:47 bark
6:49 base
6:51 baseball
6:53 basement
6:55 basic
6:57 basket
7:0 basketball
7:2 bat
7:4 bath
7:7 bathe
7:9 bathroom
